"filename", "language", "PostCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\sleep\Documents\Code\EPICsucks\components\navbar.html", "HTML", 0, 13, 0, 0, 0, 13
"c:\Users\sleep\Documents\Code\EPICsucks\components\sidebar.html", "HTML", 0, 68, 0, 0, 1, 69
"c:\Users\sleep\Documents\Code\EPICsucks\index.html", "HTML", 0, 20, 0, 0, 2, 22
"c:\Users\sleep\Documents\Code\EPICsucks\js\case.js", "JavaScript", 0, 0, 197, 23, 55, 275
"c:\Users\sleep\Documents\Code\EPICsucks\js\main.js", "JavaScript", 0, 0, 142, 6, 19, 167
"c:\Users\sleep\Documents\Code\EPICsucks\notes\createNew.html", "HTML", 0, 4, 0, 0, 0, 4
"c:\Users\sleep\Documents\Code\EPICsucks\notes\editButton.html", "HTML", 0, 8, 0, 0, 0, 8
"c:\Users\sleep\Documents\Code\EPICsucks\notes\noNote.html", "HTML", 0, 4, 0, 0, 0, 4
"c:\Users\sleep\Documents\Code\EPICsucks\notes\searchBar.html", "HTML", 0, 4, 0, 0, 0, 4
"c:\Users\sleep\Documents\Code\EPICsucks\notes\sortNotes.html", "HTML", 0, 4, 0, 0, 0, 4
"c:\Users\sleep\Documents\Code\EPICsucks\pages\case.html", "HTML", 0, 69, 0, 0, 7, 76
"c:\Users\sleep\Documents\Code\EPICsucks\pages\caseTabs\Closure.html", "HTML", 0, 4, 0, 0, 0, 4
"c:\Users\sleep\Documents\Code\EPICsucks\pages\caseTabs\Details.html", "HTML", 0, 83, 0, 0, 9, 92
"c:\Users\sleep\Documents\Code\EPICsucks\pages\caseTabs\Documents.html", "HTML", 0, 4, 0, 0, 0, 4
"c:\Users\sleep\Documents\Code\EPICsucks\pages\caseTabs\Files.html", "HTML", 0, 4, 0, 0, 0, 4
"c:\Users\sleep\Documents\Code\EPICsucks\pages\caseTabs\Location.html", "HTML", 0, 28, 0, 0, 4, 32
"c:\Users\sleep\Documents\Code\EPICsucks\pages\caseTabs\POIs.html", "HTML", 0, 6, 0, 0, 0, 6
"c:\Users\sleep\Documents\Code\EPICsucks\pages\caseTabs\Summary.html", "HTML", 0, 8, 0, 0, 0, 8
"c:\Users\sleep\Documents\Code\EPICsucks\pages\dashboard.html", "HTML", 0, 134, 0, 0, 8, 142
"c:\Users\sleep\Documents\Code\EPICsucks\pages\myWork.html", "HTML", 0, 134, 0, 0, 8, 142
"c:\Users\sleep\Documents\Code\EPICsucks\styles\case.css", "PostCSS", 241, 0, 0, 12, 50, 303
"c:\Users\sleep\Documents\Code\EPICsucks\styles\myWork.css", "PostCSS", 152, 0, 0, 6, 34, 192
"c:\Users\sleep\Documents\Code\EPICsucks\styles\notes.css", "PostCSS", 60, 0, 0, 0, 9, 69
"c:\Users\sleep\Documents\Code\EPICsucks\styles\style.css", "PostCSS", 149, 0, 0, 7, 22, 178
"Total", "-", 602, 599, 339, 54, 228, 1822